dealership_id,dealership_name,phone,city,state,website,tax_id
66,M'Quhan Autos of Colorado,719-862-4629,Pueblo,Colorado,http://www.m'quhanautosofcolorado.com,rh-330-uu-xwoh
67,Redhouse Autos of District of Columbia,202-665-5117,Washington,District of Columbia,http://www.redhouseautosofdistrictofcolumbia.com,hy-804-nx-akpp
68,King Autos of Nevada,702-381-0371,Las Vegas,Nevada,http://www.kingautosofnevada.com,dz-784-py-0e5i
69,Ashdown Autos of New Jersey,609-510-2978,Trenton,New Jersey,http://www.ashdownautosofnewjersey.com,hf-680-p8-7oy0
70,Attlee Autos of Virginia,757-334-7056,Portsmouth,Virginia,http://www.attleeautosofvirginia.com,bl-932-fb-xk6c
71,Rihanek Autos of Texas,361-708-5840,Corpus Christi,Texas,http://www.rihanekautosoftexas.com,ug-879-ak-vhvl
72,Skipsey Autos of Missouri,816-306-7190,Kansas City,Missouri,http://www.skipseyautosofmissouri.com,no-980-tx-3ey6
73,Iron Autos of Texas,713-759-4980,Houston,Texas,http://www.ironautosoftexas.com,zn-629-cu-49s7
74,Miko Autos of Tennessee,615-484-0377,Nashville,Tennessee,http://www.mikoautosoftennessee.com,fu-204-4x-7hyp
75,Pouck Autos of Kansas,316-961-1592,Wichita,Kansas,http://www.pouckautosofkansas.com,ad-545-wt-dwn6
76,Bathersby Autos of Maryland,301-119-5204,Hyattsville,Maryland,http://www.bathersbyautosofmaryland.com,zw-390-fp-hopm
77,Seathwright Autos of Florida,407-913-4849,Orlando,Florida,http://www.seathwrightautosofflorida.com,cl-887-gt-0u30
78,Bowerman Autos of Florida,561-326-3262,Lake Worth,Florida,http://www.bowermanautosofflorida.com,fa-879-ms-g7u6
79,Locock Autos of Florida,813-682-6504,Tampa,Florida,http://www.locockautosofflorida.com,fd-309-vr-21as
80,Gentzsch Autos of Illinois,312-929-5568,Chicago,Illinois,http://www.gentzschautosofillinois.com,sh-659-8q-y1wb
81,Kear Autos of Missouri,573-537-7227,Columbia,Missouri,http://www.kearautosofmissouri.com,vv-409-oa-i2gp
82,Quare Autos of California,818-138-6623,Pasadena,California,http://www.quareautosofcalifornia.com,ck-821-kl-sqel
83,Vignaux Autos of Illinois,773-414-8990,Chicago,Illinois,http://www.vignauxautosofillinois.com,bv-658-h1-ybty
84,Menloe Autos of Arkansas,479-371-7779,Fort Smith,Arkansas,http://www.menloeautosofarkansas.com,kp-868-xm-j3ny
85,Redihough Autos of Louisiana,504-115-8815,New Orleans,Louisiana,http://www.redihoughautosoflouisiana.com,tj-408-ip-0qa3
86,McBeith Autos of Massachusetts,978-902-2593,Waltham,Massachusetts,http://www.mcbeithautosofmassachusetts.com,mn-479-ot-hszw
87,Olivetti Autos of Ohio,937-221-1895,Dayton,Ohio,http://www.olivettiautosofohio.com,xw-029-xp-2m8e
88,Gobeaux Autos of Florida,754-617-6527,Fort Lauderdale,Florida,http://www.gobeauxautosofflorida.com,je-983-ch-jwod
89,McClifferty Autos of Wisconsin,414-869-2598,Milwaukee,Wisconsin,http://www.mccliffertyautosofwisconsin.com,ls-971-5u-d0dh
90,Leinweber Autos of Kansas,913-734-7581,Shawnee Mission,Kansas,http://www.leinweberautosofkansas.com,gu-357-y8-xwqr
91,Gurys Autos of California,510-211-4615,Oakland,California,http://www.gurysautosofcalifornia.com,qh-987-57-k4ub
92,Vankin Autos of California,209-585-9154,Stockton,California,http://www.vankinautosofcalifornia.com,lr-145-wy-8hxb
93,Overton Autos of South Carolina,803-695-6571,Columbia,South Carolina,http://www.overtonautosofsouthcarolina.com,yd-134-ev-xf2a
94,Casone Autos of Kentucky,502-344-8521,Louisville,Kentucky,http://www.casoneautosofkentucky.com,gf-960-09-fdza
95,O' Driscoll Autos of Georgia,404-592-7138,Atlanta,Georgia,http://www.o'driscollautosofgeorgia.com,qm-518-qw-8mtc
96,Duckerin Autos of California,415-444-8222,San Francisco,California,http://www.duckerinautosofcalifornia.com,jh-451-en-dm1y
97,MacDearmaid Autos of Ohio,419-310-1663,Toledo,Ohio,http://www.macdearmaidautosofohio.com,er-360-os-mm7i
98,Tremoille Autos of California,626-130-8987,Pasadena,California,http://www.tremoilleautosofcalifornia.com,hz-657-wu-uwrg
99,Vairow Autos of New Jersey,908-470-5401,Elizabeth,New Jersey,http://www.vairowautosofnewjersey.com,sa-784-lc-dgdp
100,Haygreen Autos of Virginia,540-110-6618,Roanoke,Virginia,http://www.haygreenautosofvirginia.com,td-536-sg-w5zj
101,Lawman Autos of California,559-267-7868,Fresno,California,http://www.lawmanautosofcalifornia.com,cv-182-hh-lex3
102,Benko Autos of North Carolina,919-331-5263,Raleigh,North Carolina,http://www.benkoautosofnorthcarolina.com,rd-485-dc-w19d
103,Bedbrough Autos of Virginia,540-513-4596,Fredericksburg,Virginia,http://www.bedbroughautosofvirginia.com,nz-692-0j-mcf4
104,Dowry Autos of California,760-862-3439,San Bernardino,California,http://www.dowryautosofcalifornia.com,be-352-3v-brii
105,Skully Autos of Florida,813-530-9830,Zephyrhills,Florida,http://www.skullyautosofflorida.com,ke-526-nh-fnhq
106,Simonard Autos of Michigan,313-392-8951,Detroit,Michigan,http://www.simonardautosofmichigan.com,ix-607-gq-jsrr
107,Harkins Autos of Colorado,719-155-9973,Colorado Springs,Colorado,http://www.harkinsautosofcolorado.com,ph-876-4n-8i13
108,Grist Autos of Oklahoma,918-994-5171,Tulsa,Oklahoma,http://www.gristautosofoklahoma.com,ct-050-is-ere0
109,Southey Autos of Connecticut,203-448-6191,New Haven,Connecticut,http://www.southeyautosofconnecticut.com,yh-130-pu-pudw
110,Pinckney Autos of Florida,305-442-8906,Hollywood,Florida,http://www.pinckneyautosofflorida.com,da-475-pn-o9x1
111,Basford Autos of South Carolina,843-441-7259,Beaufort,South Carolina,http://www.basfordautosofsouthcarolina.com,tv-717-lg-103d
112,McConaghy Autos of Maryland,410-689-2692,Baltimore,Maryland,http://www.mcconaghyautosofmaryland.com,br-441-oi-v4li
113,Ossipenko Autos of California,760-620-6199,Carlsbad,California,http://www.ossipenkoautosofcalifornia.com,fa-369-p7-9qer
114,Leele Autos of Kansas,316-497-7766,Wichita,Kansas,http://www.leeleautosofkansas.com,hs-081-eo-tibs
115,Sawood Autos of California,408-554-5401,San Jose,California,http://www.sawoodautosofcalifornia.com,mw-697-2h-4moi
116,Witherbed Autos of New York,516-638-3706,Port Washington,New York,http://www.witherbedautosofnewyork.com,ii-028-u3-kukt
117,Andrzejewski Autos of Kansas,785-460-4597,Topeka,Kansas,http://www.andrzejewskiautosofkansas.com,fn-344-kn-jj8f
118,Ruxton Autos of Wisconsin,414-180-1847,Milwaukee,Wisconsin,http://www.ruxtonautosofwisconsin.com,yo-445-nx-9tk6
119,Domm Autos of Florida,904-727-0992,Saint Augustine,Florida,http://www.dommautosofflorida.com,xp-188-jj-3qt5
120,Pechan Autos of Virginia,757-712-8827,Portsmouth,Virginia,http://www.pechanautosofvirginia.com,me-835-2s-rerm
121,Scotting Autos of Georgia,678-287-5195,Decatur,Georgia,http://www.scottingautosofgeorgia.com,qy-554-3a-wl22
122,Caret Autos of Tennessee,865-475-1632,Knoxville,Tennessee,http://www.caretautosoftennessee.com,jl-038-hm-rfqm
123,Sutor Autos of Kentucky,502-472-3433,Louisville,Kentucky,http://www.sutorautosofkentucky.com,zs-955-93-9grx
124,Dumingo Autos of New Jersey,201-826-5634,Paterson,New Jersey,http://www.dumingoautosofnewjersey.com,lj-570-2s-b4rb
125,Blunn Autos of Texas,325-594-1048,Abilene,Texas,http://www.blunnautosoftexas.com,jn-472-4b-qa7j
126,Mandre Autos of West Virginia,304-427-7622,Charleston,West Virginia,http://www.mandreautosofwestvirginia.com,fq-221-5b-j3w7
127,Dodman Autos of Texas,830-876-7694,San Antonio,Texas,http://www.dodmanautosoftexas.com,kc-015-7x-lqfi
128,Hrishchenko Autos of New York,212-915-4659,New York City,New York,http://www.hrishchenkoautosofnewyork.com,ho-896-de-ih7v
129,Scrogges Autos of District of Columbia,202-569-8472,Washington,District of Columbia,http://www.scroggesautosofdistrictofcolumbia.com,ob-017-mk-fdkd
130,Pecey Autos of Texas,915-271-5663,El Paso,Texas,http://www.peceyautosoftexas.com,sn-364-ir-210b
131,Cattell Autos of New York,917-978-5277,Brooklyn,New York,http://www.cattellautosofnewyork.com,km-892-ka-kt4r
132,Dowty Autos of California,408-273-1853,San Jose,California,http://www.dowtyautosofcalifornia.com,wu-621-qj-6fjq
133,Short Autos of Virginia,571-949-6318,Arlington,Virginia,http://www.shortautosofvirginia.com,hf-780-lz-rr1h
134,Middlemiss Autos of Illinois,309-177-6917,Bloomington,Illinois,http://www.middlemissautosofillinois.com,fd-646-xd-v2j1
135,Oldridge Autos of Texas,254-259-0562,Gatesville,Texas,http://www.oldridgeautosoftexas.com,dq-791-8z-ia5h
136,Goddard Autos of Alabama,256-589-9166,Huntsville,Alabama,http://www.goddardautosofalabama.com,av-217-77-yoyt
137,Leale Autos of Texas,469-670-8216,Dallas,Texas,http://www.lealeautosoftexas.com,my-301-uk-o53v
138,Bowers Autos of District of Columbia,202-415-6829,Washington,District of Columbia,http://www.bowersautosofdistrictofcolumbia.com,lq-227-c5-7314
139,Haselden Autos of Connecticut,860-875-9989,Hartford,Connecticut,http://www.haseldenautosofconnecticut.com,ua-974-6y-6wfq
140,Bryns Autos of Virginia,540-306-8589,Roanoke,Virginia,http://www.brynsautosofvirginia.com,tg-821-84-91c0
141,Planke Autos of Maryland,301-577-6813,Laurel,Maryland,http://www.plankeautosofmaryland.com,dd-906-is-s7dq
142,Sussex Autos of Ohio,513-825-9337,Cincinnati,Ohio,http://www.sussexautosofohio.com,kc-129-e8-6xdj
143,Forsythe Autos of Texas,210-218-7764,San Antonio,Texas,http://www.forsytheautosoftexas.com,dj-669-cx-zcmc
144,Lande Autos of New York,718-372-7747,Flushing,New York,http://www.landeautosofnewyork.com,xi-374-c9-thtz
145,Mansion Autos of Texas,214-447-1956,Dallas,Texas,http://www.mansionautosoftexas.com,qo-365-25-yef6
146,Abrashkov Autos of California,310-454-3493,Inglewood,California,http://www.abrashkovautosofcalifornia.com,bd-375-mm-xrec
147,Limbert Autos of Texas,512-413-8159,Austin,Texas,http://www.limbertautosoftexas.com,tp-941-2l-flcg
148,Howroyd Autos of California,559-108-1854,Fresno,California,http://www.howroydautosofcalifornia.com,mk-007-sg-yp87
149,Francis Autos of Minnesota,952-836-1984,Minneapolis,Minnesota,http://www.francisautosofminnesota.com,gu-275-32-w893
150,Ainge Autos of New York,646-444-5658,New York City,New York,http://www.aingeautosofnewyork.com,ad-637-wc-issg
151,Kegan Autos of Ohio,513-784-2133,Cincinnati,Ohio,http://www.keganautosofohio.com,mk-746-04-gtl7
152,McGovern Autos of Texas,214-420-7292,Dallas,Texas,http://www.mcgovernautosoftexas.com,ju-800-gn-pidy
153,Hutchence Autos of Florida,904-824-7835,Jacksonville,Florida,http://www.hutchenceautosofflorida.com,gy-923-12-ssqk
154,Hicken Autos of Texas,281-495-6020,Houston,Texas,http://www.hickenautosoftexas.com,tu-480-o9-szpw
155,Joerning Autos of New York,716-895-7021,Buffalo,New York,http://www.joerningautosofnewyork.com,ki-356-63-ar89
156,Worswick Autos of Michigan,810-238-7300,Detroit,Michigan,http://www.worswickautosofmichigan.com,dr-267-vd-qipp
157,Dondon Autos of Idaho,208-766-0293,Pocatello,Idaho,http://www.dondonautosofidaho.com,vn-989-js-3zee
158,Flockhart Autos of Colorado,719-230-0610,Colorado Springs,Colorado,http://www.flockhartautosofcolorado.com,ur-929-45-yg4t
159,Earle Autos of Illinois,217-994-0226,Springfield,Illinois,http://www.earleautosofillinois.com,qm-789-th-tadd
160,Cordet Autos of Kansas,785-541-9577,Topeka,Kansas,http://www.cordetautosofkansas.com,gj-264-ql-ly1x
161,Balhatchet Autos of Virginia,804-834-9329,Richmond,Virginia,http://www.balhatchetautosofvirginia.com,dx-562-bf-kbkq
162,Brion Autos of Utah,801-910-5003,Sandy,Utah,http://www.brionautosofutah.com,lx-884-r2-axqv
163,Chrisp Autos of Texas,713-178-4260,Houston,Texas,http://www.chrispautosoftexas.com,iu-377-hg-z9xw
164,Gerry Autos of California,562-605-6262,Long Beach,California,http://www.gerryautosofcalifornia.com,mv-978-v0-2k4x
165,Emilien Autos of Florida,786-198-4693,Miami,Florida,http://www.emilienautosofflorida.com,gn-323-yb-zkls
166,Bollom Autos of District of Columbia,202-551-9760,Washington,District of Columbia,http://www.bollomautosofdistrictofcolumbia.com,mb-984-1k-i8nb
167,Smidmoor Autos of Oklahoma,918-605-0195,Tulsa,Oklahoma,http://www.smidmoorautosofoklahoma.com,ld-329-rp-dqmu
168,Andrelli Autos of District of Columbia,202-534-5250,Washington,District of Columbia,http://www.andrelliautosofdistrictofcolumbia.com,fd-880-z0-3b35
169,Gabotti Autos of Alabama,205-562-3679,Birmingham,Alabama,http://www.gabottiautosofalabama.com,wy-708-zx-v3yj
170,Playford Autos of Washington,360-114-1363,Vancouver,Washington,http://www.playfordautosofwashington.com,hu-520-yi-c1t0
171,Botterill Autos of Arizona,520-998-7471,Tucson,Arizona,http://www.botterillautosofarizona.com,iv-041-5l-i7nz
172,Hibling Autos of Florida,305-267-1201,Miami Beach,Florida,http://www.hiblingautosofflorida.com,ju-967-80-cg70
173,Pegden Autos of California,415-965-1819,San Francisco,California,http://www.pegdenautosofcalifornia.com,vf-892-hc-o5qh
174,Pudden Autos of Colorado,720-506-1969,Denver,Colorado,http://www.puddenautosofcolorado.com,jq-901-v5-uyci
175,Tayt Autos of Florida,239-827-1595,Naples,Florida,http://www.taytautosofflorida.com,lp-740-9z-my4z
176,Tremblay Autos of Texas,713-218-0182,Houston,Texas,http://www.tremblayautosoftexas.com,ks-425-kr-y3o4
177,Ronca Autos of Colorado,303-816-0214,Denver,Colorado,http://www.roncaautosofcolorado.com,ct-101-m4-swuz
178,Delve Autos of New York,646-821-7623,New York City,New York,http://www.delveautosofnewyork.com,ra-308-nk-drcf
179,Skipworth Autos of Ohio,440-837-0591,Cleveland,Ohio,http://www.skipworthautosofohio.com,js-341-dk-lx4c
180,Stainfield Autos of Alabama,256-253-7319,Anniston,Alabama,http://www.stainfieldautosofalabama.com,ry-647-x4-5uzp
181,Behne Autos of Wisconsin,608-881-7096,Madison,Wisconsin,http://www.behneautosofwisconsin.com,hu-731-si-kl91
182,Klimochkin Autos of Texas,713-861-8241,Houston,Texas,http://www.klimochkinautosoftexas.com,ra-080-ax-drmw
183,Dreye Autos of Illinois,309-698-8150,Peoria,Illinois,http://www.dreyeautosofillinois.com,ns-806-9m-ij72
184,Tomanek Autos of Florida,754-644-0831,Pompano Beach,Florida,http://www.tomanekautosofflorida.com,ph-593-rp-3osf
185,Fraine Autos of New Jersey,609-468-2739,Trenton,New Jersey,http://www.fraineautosofnewjersey.com,qg-195-ah-pltw
186,Nottingham Autos of District of Columbia,202-965-5052,Washington,District of Columbia,http://www.nottinghamautosofdistrictofcolumbia.com,oa-644-tm-5wzz
187,Sire Autos of Iowa,563-934-3135,Davenport,Iowa,http://www.sireautosofiowa.com,jo-008-qz-2dtc
188,Hawke Autos of Ohio,330-811-4432,Akron,Ohio,http://www.hawkeautosofohio.com,wl-985-kr-5e1h
189,Redfearn Autos of Kentucky,502-381-4132,Louisville,Kentucky,http://www.redfearnautosofkentucky.com,xj-832-h2-ztbk
190,MacEllen Autos of Minnesota,651-943-5077,Saint Paul,Minnesota,http://www.macellenautosofminnesota.com,jz-556-e7-p8jp
191,Masson Autos of Massachusetts,508-692-4090,Brockton,Massachusetts,http://www.massonautosofmassachusetts.com,wj-681-tt-btj4
192,Judd Autos of Texas,936-713-5010,Conroe,Texas,http://www.juddautosoftexas.com,qv-447-w7-idf7
193,Faunch Autos of California,951-275-2744,Corona,California,http://www.faunchautosofcalifornia.com,th-182-tx-5zlh
194,Bryns Autos of Connecticut,203-111-6730,New Haven,Connecticut,http://www.brynsautosofconnecticut.com,lv-573-fj-jgqz
195,Janks Autos of Tennessee,901-806-7567,Memphis,Tennessee,http://www.janksautosoftennessee.com,wd-643-8y-vsvg
196,Desforges Autos of Florida,561-554-4969,Delray Beach,Florida,http://www.desforgesautosofflorida.com,wy-702-rf-ncep
197,Alten Autos of California,619-597-5110,San Diego,California,http://www.altenautosofcalifornia.com,wd-179-20-u31j
198,Sturm Autos of Maryland,410-355-9357,Baltimore,Maryland,http://www.sturmautosofmaryland.com,au-066-3m-g357
199,Ford Autos of New Mexico,505-660-2854,Albuquerque,New Mexico,http://www.fordautosofnewmexico.com,pr-549-ir-q5lm
200,Hefferan Autos of Pennsylvania,412-835-4707,Pittsburgh,Pennsylvania,http://www.hefferanautosofpennsylvania.com,wk-773-nh-0ke0
201,Tolputt Autos of Alabama,205-457-0500,Birmingham,Alabama,http://www.tolputtautosofalabama.com,fn-329-r8-na76
202,Irving Autos of District of Columbia,202-255-5721,Washington,District of Columbia,http://www.irvingautosofdistrictofcolumbia.com,fq-822-vm-wxer
203,Burcher Autos of California,949-338-2796,Santa Clara,California,http://www.burcherautosofcalifornia.com,dn-969-st-utok
204,Ferron Autos of Florida,407-984-0600,Orlando,Florida,http://www.ferronautosofflorida.com,cr-768-3y-ems2
205,Foxall Autos of New York,212-934-8452,Brooklyn,New York,http://www.foxallautosofnewyork.com,dz-899-t7-lzwh
206,Skein Autos of Georgia,678-251-0849,Atlanta,Georgia,http://www.skeinautosofgeorgia.com,te-069-x7-0gqs
207,Torald Autos of Florida,941-105-1952,Naples,Florida,http://www.toraldautosofflorida.com,th-598-a1-k1z6
208,Griffen Autos of Texas,512-218-0690,Austin,Texas,http://www.griffenautosoftexas.com,ep-684-av-kfzg
209,Ritzman Autos of California,510-369-9678,Oakland,California,http://www.ritzmanautosofcalifornia.com,me-548-r0-ljyz
210,Scocroft Autos of Georgia,404-330-8957,Atlanta,Georgia,http://www.scocroftautosofgeorgia.com,uv-814-j0-bv70
211,Cadagan Autos of Florida,754-577-2602,Pompano Beach,Florida,http://www.cadaganautosofflorida.com,df-068-dt-wi4v
212,Bittlestone Autos of Texas,512-762-5263,Austin,Texas,http://www.bittlestoneautosoftexas.com,ps-235-zc-xt6a
213,Ruusa Autos of California,661-921-9977,Bakersfield,California,http://www.ruusaautosofcalifornia.com,un-332-qz-acuv
214,Bramont Autos of Texas,682-229-3173,Fort Worth,Texas,http://www.bramontautosoftexas.com,nz-013-aj-5h59
215,Nurdin Autos of Illinois,217-772-8130,Springfield,Illinois,http://www.nurdinautosofillinois.com,pa-656-st-tp1n
216,Sarch Autos of New York,518-218-8282,Albany,New York,http://www.sarchautosofnewyork.com,be-312-qr-g9nh
217,Laugier Autos of Florida,850-709-0590,Tallahassee,Florida,http://www.laugierautosofflorida.com,vf-119-93-27v0
218,Provost Autos of Pennsylvania,717-372-1739,Lancaster,Pennsylvania,http://www.provostautosofpennsylvania.com,xl-862-yl-6k7n
219,Gershom Autos of Pennsylvania,215-956-2283,Philadelphia,Pennsylvania,http://www.gershomautosofpennsylvania.com,fz-139-65-c3c5
220,Sissland Autos of New York,716-518-4733,Buffalo,New York,http://www.sisslandautosofnewyork.com,bg-935-br-q032
221,Lidstone Autos of Maryland,301-401-1647,Hyattsville,Maryland,http://www.lidstoneautosofmaryland.com,id-116-9t-qsiz
222,Bozworth Autos of North Carolina,910-527-3934,Fayetteville,North Carolina,http://www.bozworthautosofnorthcarolina.com,wk-674-w0-4db4
223,Pinching Autos of Georgia,478-424-3446,Macon,Georgia,http://www.pinchingautosofgeorgia.com,lk-804-o4-0y0j
224,Ianetti Autos of South Dakota,605-760-9156,Sioux Falls,South Dakota,http://www.ianettiautosofsouthdakota.com,bc-182-85-c8hh
